
Nombre de imagen               PID Servicios                                    
========================= ======== =============================================
System Idle Process              0 N/D                                          
System                           4 N/D                                          
smss.exe                       452 N/D                                          
csrss.exe                      732 N/D                                          
wininit.exe                    828 N/D                                          
csrss.exe                      852 N/D                                          
services.exe                   900 N/D                                          
lsass.exe                      916 KeyIso, SamSs                                
lsm.exe                        924 N/D                                          
svchost.exe                    156 DcomLaunch, PlugPlay, Power                  
nvvsvc.exe                     752 nvsvc                                        
svchost.exe                    736 RpcEptMapper, RpcSs                          
MsMpEng.exe                   1032 MsMpSvc                                      
winlogon.exe                  1080 N/D                                          
svchost.exe                   1192 AudioSrv, Dhcp, eventlog, lmhosts, wscsvc    
svchost.exe                   1224 AudioEndpointBuilder, dot3svc, hidserv,      
                                   Netman, PcaSvc, SysMain, TabletInputService, 
                                   TrkWks, UxSms, Wlansvc                       
svchost.exe                   1280 EventSystem, FontCache, netprofm, nsi,       
                                   SstpSvc, WdiServiceHost, WinHttpAutoProxySvc 
svchost.exe                   1308 AeLookupSvc, BITS, Browser, CertPropSvc,     
                                   EapHost, iphlpsvc, LanmanServer, MMCSS,      
                                   ProfSvc, RasMan, Schedule, SENS,             
                                   ShellHWDetection, Themes, Winmgmt, wuauserv  
svchost.exe                   1396 gpsvc                                        
svchost.exe                   1508 CryptSvc, Dnscache, LanmanWorkstation,       
                                   NlaSvc, TapiSrv                              
AsLdrSrv.exe                  1632 ASLDRService                                 
wlanext.exe                   1684 N/D                                          
conhost.exe                   1708 N/D                                          
nvxdsync.exe                  1752 N/D                                          
nvvsvc.exe                    1764 N/D                                          
GFNEXSrv.exe                  1772 ATKGFNEXSrv                                  
wisptis.exe                   1852 N/D                                          
taskeng.exe                   2000 N/D                                          
spoolsv.exe                   2008 Spooler                                      
svchost.exe                    856 FDResPub, SCardSvr, SSDPSRV                  
svchost.exe                   1360 BFE, DPS, MpsSvc                             
armsvc.exe                    2080 AdobeARMservice                              
InsOnSrv.exe                  2100 ASUS InstantOn                               
devmonsrv.exe                 2124 Bluetooth Device Monitor                     
svchost.exe                   2232 bthserv                                      
DptfParticipantProcessorS     2304 DptfParticipantProcessorService              
DptfPolicyConfigTDPServic     2352 DptfPolicyConfigTDPService                   
EvtEng.exe                    2392 EvtEng                                       
ExpressCache.exe              2456 ExpressCache                                 
